region,biweek,cases
R0_metro,0,99
R0_metro,1,165
R0_metro,2,250
R0_metro,3,567
R0_metro,4,1178
R0_metro,5,2089
R0_metro,6,3226
R0_metro,7,5301
R0_metro,8,8169
R0_metro,9,12252
R0_metro,10,17237
R0_metro,11,21155
R0_metro,12,23194
R0_metro,13,23442
R0_metro,14,22487
R0_metro,15,20285
R0_metro,16,18152
R0_metro,17,16411
R0_metro,18,14198
R0_metro,19,12323
R0_metro,20,10477
R0_metro,21,8082
R0_metro,22,7131
R0_metro,23,6626
R0_metro,24,6394
R0_metro,25,6691
R0_metro,26,7107
R0_metro,27,8554
R0_metro,28,9599
R0_metro,29,11577
R0_metro,30,13623
R0_metro,31,15812
R0_metro,32,17575
R0_metro,33,18945
R0_metro,34,18919
R0_metro,35,17330
R0_metro,36,14615
R0_metro,37,11573
R0_metro,38,8495
R0_metro,39,5818
R0_metro,40,4223
R0_metro,41,2757
R0_metro,42,1667
R0_metro,43,1161
R0_metro,44,737
R0_metro,45,496
R0_metro,46,338
R0_metro,47,280
R0_metro,48,195
R0_metro,49,154
R0_metro,50,115
R0_metro,51,148
R0_metro,52,87
R0_metro,53,58
R0_metro,54,36
R0_metro,55,31
R0_metro,56,14
R0_metro,57,3
R0_metro,58,0
R0_metro,59,0
R0_metro,60,7
R0_metro,61,4
R0_metro,62,4
R0_metro,63,0
R0_metro,64,0
R0_metro,65,0
R0_metro,66,0
R0_metro,67,7
R0_metro,68,0
R0_metro,69,0
R0_metro,70,0
R0_metro,71,0
R0_metro,72,0
R0_metro,73,0
R0_metro,74,3
R0_metro,75,10
R0_metro,76,0
R0_metro,77,7
R0_metro,78,0
R1_nw,0,0
R1_nw,1,0
R1_nw,2,0
R1_nw,3,0
R1_nw,4,0
R1_nw,5,0
R1_nw,6,0
R1_nw,7,7
R1_nw,8,39
R1_nw,9,65
R1_nw,10,140
R1_nw,11,398
R1_nw,12,703
R1_nw,13,1021
R1_nw,14,1378
R1_nw,15,1843
R1_nw,16,1772
