region,week,cases
R0_metro,0,25
R0_metro,1,50
R0_metro,2,34
R0_metro,3,44
R0_metro,4,52
R0_metro,5,69
R0_metro,6,103
R0_metro,7,188
R0_metro,8,261
R0_metro,9,392
R0_metro,10,488
R0_metro,11,640
R0_metro,12,936
R0_metro,13,1222
R0_metro,14,1514
R0_metro,15,2183
R0_metro,16,2833
R0_metro,17,3631
R0_metro,18,4477
R0_metro,19,5685
R0_metro,20,7152
R0_metro,21,8445
R0_metro,22,9582
R0_metro,23,10510
R0_metro,24,11619
R0_metro,25,12329
R0_metro,26,12423
R0_metro,27,12338
R0_metro,28,12034
R0_metro,29,11929
R0_metro,30,11223
R0_metro,31,10742
R0_metro,32,9923
R0_metro,33,9095
R0_metro,34,8536
R0_metro,35,7780
R0_metro,36,7056
R0_metro,37,6208
R0_metro,38,5954
R0_metro,39,5765
R0_metro,40,5504
R0_metro,41,5247
R0_metro,42,4786
R0_metro,43,4830
R0_metro,44,4453
R0_metro,45,4384
R0_metro,46,4057
R0_metro,47,3984
R0_metro,48,3969
R0_metro,49,3967
R0_metro,50,3935
R0_metro,51,4173
R0_metro,52,4017
R0_metro,53,4216
R0_metro,54,4474
R0_metro,55,4798
R0_metro,56,4918
R0_metro,57,5261
R0_metro,58,5796
R0_metro,59,6489
R0_metro,60,6922
R0_metro,61,7369
R0_metro,62,7903
R0_metro,63,8048
R0_metro,64,8404
R0_metro,65,9207
R0_metro,66,9515
R0_metro,67,9962
R0_metro,68,10005
R0_metro,69,9720
R0_metro,70,9385
R0_metro,71,8951
R0_metro,72,8143
R0_metro,73,7299
R0_metro,74,6325
R0_metro,75,5487
R0_metro,76,4474
R0_metro,77,3594
R0_metro,78,3062
R0_metro,79,2513
R0_metro,80,2077
R0_metro,81,1677
R0_metro,82,1284
R0_metro,83,938
R0_metro,84,902
R0_metro,85,649
R0_metro,86,537
R0_metro,87,404
R0_metro,88,240
R0_metro,89,212
R0_metro,90,112
R0_metro,91,74
R0_metro,92,66
R0_metro,93,69
R0_metro,94,37
R0_metro,95,5
R0_metro,96,12
R0_metro,97,17
R0_metro,98,14
R0_metro,99,18
R0_metro,100,26
R0_metro,101,23
R0_metro,102,20
R0_metro,103,3
R0_metro,104,0
R0_metro,105,0
R0_metro,106,0
R0_metro,107,0
R0_metro,108,0
R0_metro,109,2
R0_metro,110,10
R0_metro,111,8
R0_metro,112,6
R0_metro,113,9
R0_metro,114,15
R0_metro,115,22
R0_metro,116,25
R0_metro,117,14
R0_metro,118,5
R0_metro,119,0
R0_metro,120,0
R0_metro,121,0
R0_metro,122,0
R0_metro,123,0
R0_metro,124,0
R0_metro,125,3
R0_metro,126,7
R0_metro,127,6
R0_metro,128,5
R0_metro,129,0
R0_metro,130,0
R0_metro,131,0
R0_metro,132,0
R0_metro,133,0
R0_metro,134,0
R0_metro,135,0
R0_metro,136,0
R0_metro,137,0
R0_metro,138,0
R0_metro,139,4
R0_metro,140,1
R0_metro,141,0
R0_metro,142,0
R0_metro,143,0
R0_metro,144,0
R0_metro,145,1
R0_metro,146,7
R0_metro,147,0
R0_metro,148,0
R0_metro,149,0
R0_metro,150,0
R0_metro,151,0
R0_metro,152,0
R0_metro,153,0
R0_metro,154,0
