region,biweek,cases
R0_metro,0,106
R0_metro,1,255
R0_metro,2,482
R0_metro,3,584
R0_metro,4,612
R0_metro,5,718
R0_metro,6,764
R0_metro,7,1007
R0_metro,8,1248
R0_metro,9,1076
R0_metro,10,1157
R0_metro,11,950
R0_metro,12,856
R0_metro,13,722
R0_metro,14,606
R0_metro,15,632
R0_metro,16,524
R0_metro,17,385
R0_metro,18,382
R0_metro,19,326
R0_metro,20,331
R0_metro,21,250
R0_metro,22,273
R0_metro,23,274
R0_metro,24,310
R0_metro,25,354
R0_metro,26,389
R0_metro,27,412
R0_metro,28,477
R0_metro,29,605
R0_metro,30,708
R0_metro,31,668
R0_metro,32,682
R0_metro,33,731
R0_metro,34,820
R0_metro,35,1008
R0_metro,36,891
R0_metro,37,948
R0_metro,38,977
R0_metro,39,940
R0_metro,40,756
R0_metro,41,576
R0_metro,42,625
R0_metro,43,413
R0_metro,44,286
R0_metro,45,291
R0_metro,46,337
R0_metro,47,320
R0_metro,48,274
R0_metro,49,373
R0_metro,50,329
R0_metro,51,350
R0_metro,52,356
R0_metro,53,348
R0_metro,54,327
R0_metro,55,331
R0_metro,56,439
R0_metro,57,465
R0_metro,58,504
R0_metro,59,706
R0_metro,60,714
R0_metro,61,945
R0_metro,62,1047
R0_metro,63,1139
R0_metro,64,1039
R0_metro,65,740
R0_metro,66,537
R0_metro,67,490
R0_metro,68,446
R0_metro,69,378
R0_metro,70,375
R0_metro,71,324
R0_metro,72,408
R0_metro,73,382
R0_metro,74,439
R0_metro,75,480
R0_metro,76,491
R0_metro,77,457
R0_metro,78,108
R1_nw,0,8
R1_nw,1,50
R1_nw,2,96
R1_nw,3,106
R1_nw,4,157
R1_nw,5,98
R1_nw,6,112
R1_nw,7,82
R1_nw,8,101
R1_nw,9,113
R1_nw,10,73
R1_nw,11,73
R1_nw,12,87
R1_nw,13,66
R1_nw,14,57
R1_nw,15,56
R1_nw,16,59
R1_nw,17,29
R1_nw,18,41
R1_nw,19,28
R1_nw,20,26
R1_nw,21,24
R1_nw,22,29
R1_nw,23,15
R1_nw,24,61
R1_nw,25,30
R1_nw,26,27
R1_nw,27,75
R1_nw,28,94
R1_nw,29,122
R1_nw,30,91
R1_nw,31,101
R1_nw,32,105
R1_nw,33,103
R1_nw,34,184
R1_nw,35,165
R1_nw,36,160
R1_nw,37,83
R1_nw,38,36
R1_nw,39,8
R1_nw,40,24
R1_nw,41,113
R1_nw,42,121
R1_nw,43,72
R1_nw,44,60
R1_nw,45,50
R1_nw,46,31
R1_nw,47,18
R1_nw,48,19
R1_nw,49,19
R1_nw,50,13
R1_nw,51,26
R1_nw,52,86
R1_nw,53,67
R1_nw,54,66
R1_nw,55,85
R1_nw,56,78
R1_nw,57,107
R1_nw,58,168
R1_nw,59,200
R1_nw,60,194
R1_nw,61,190
R1_nw,62,114
R1_nw,63,70
R1_nw,64,44
R1_nw,65,45
R1_nw,66,19
R1_nw,67,43
R1_nw,68,37
R1_nw,69,29
R1_nw,70,5
R1_nw,71,17
R1_nw,72,2
R1_nw,73,7
R1_nw,74,23
R1_nw,75,13
R1_nw,76,13
R1_nw,77,0
R1_nw,78,0
R2_ne,0,10
R2_ne,1,5
R2_ne,2,23
R2_ne,3,60
R2_ne,4,50
R2_ne,5,81
R2_ne,6,51
R2_ne,7,35
R2_ne,8,44
R2_ne,9,35
R2_ne,10,18
R2_ne,11,16
R2_ne,12,23
R2_ne,13,15
R2_ne,14,26
R2_ne,15,30
R2_ne,16,13
R2_ne,17,24
R2_ne,18,46
R2_ne,19,25
R2_ne,20,54
R2_ne,21,37
R2_ne,22,44
R2_ne,23,12
