region,biweek,cases
R0_metro,0,101
R0_metro,1,214
R0_metro,2,300
R0_metro,3,306
R0_metro,4,336
R0_metro,5,411
R0_metro,6,460
R0_metro,7,595
R0_metro,8,695
R0_metro,9,725
R0_metro,10,833
R0_metro,11,795
R0_metro,12,824
R0_metro,13,774
R0_metro,14,684
R0_metro,15,575
R0_metro,16,453
R0_metro,17,356
R0_metro,18,317
R0_metro,19,357
R0_metro,20,305
R0_metro,21,315
R0_metro,22,415
R0_metro,23,352
R0_metro,24,328
R0_metro,25,392
R0_metro,26,386
R0_metro,27,451
R0_metro,28,441
R0_metro,29,570
R0_metro,30,598
R0_metro,31,668
R0_metro,32,836
R0_metro,33,893
R0_metro,34,865
R0_metro,35,960
R0_metro,36,835
R0_metro,37,733
R0_metro,38,694
R0_metro,39,645
R0_metro,40,665
R0_metro,41,562
R0_metro,42,498
R0_metro,43,420
R0_metro,44,262
R0_metro,45,187
R0_metro,46,204
R0_metro,47,311
R0_metro,48,262
R0_metro,49,222
R0_metro,50,236
R0_metro,51,295
R0_metro,52,300
R0_metro,53,353
R0_metro,54,471
R0_metro,55,717
R0_metro,56,671
R0_metro,57,817
R0_metro,58,793
R0_metro,59,699
R0_metro,60,869
R0_metro,61,848
R0_metro,62,764
R0_metro,63,787
R0_metro,64,590
R0_metro,65,625
R0_metro,66,683
R0_metro,67,734
R0_metro,68,618
R0_metro,69,395
R0_metro,70,345
R0_metro,71,269
R0_metro,72,341
R0_metro,73,279
R0_metro,74,333
R0_metro,75,266
R0_metro,76,388
R0_metro,77,458
R0_metro,78,119
R1_nw,0,0
R1_nw,1,4
R1_nw,2,13
R1_nw,3,38
R1_nw,4,42
R1_nw,5,83
R1_nw,6,72
R1_nw,7,43
R1_nw,8,50
R1_nw,9,62
R1_nw,10,125
R1_nw,11,95
R1_nw,12,122
R1_nw,13,71
R1_nw,14,48
R1_nw,15,67
R1_nw,16,94
R1_nw,17,59
R1_nw,18,15
R1_nw,19,6
R1_nw,20,10
R1_nw,21,4
R1_nw,22,64
R1_nw,23,91
R1_nw,24,77
R1_nw,25,51
R1_nw,26,53
R1_nw,27,19
R1_nw,28,7
R1_nw,29,16
R1_nw,30,68
R1_nw,31,101
R1_nw,32,112
R1_nw,33,110
R1_nw,34,68
R1_nw,35,24
R1_nw,36,42
R1_nw,37,76
R1_nw,38,65
R1_nw,39,40
R1_nw,40,16
R1_nw,41,16
R1_nw,42,13
R1_nw,43,28
R1_nw,44,2
R1_nw,45,0
R1_nw,46,8
R1_nw,47,32
R1_nw,48,29
R1_nw,49,25
R1_nw,50,44
R1_nw,51,39
R1_nw,52,89
R1_nw,53,109
R1_nw,54,117
R1_nw,55,121
R1_nw,56,83
R1_nw,57,142
R1_nw,58,161
R1_nw,59,173
R1_nw,60,208
R1_nw,61,217
R1_nw,62,164
R1_nw,63,83
R1_nw,64,25
R1_nw,65,38
R1_nw,66,46
R1_nw,67,45
R1_nw,68,71
R1_nw,69,96
R1_nw,70,140
R1_nw,71,53
R1_nw,72,52
R1_nw,73,69
R1_nw,74,28
R1_nw,75,17
R1_nw,76,16
R1_nw,77,39
R1_nw,78,18
R2_ne,0,0
R2_ne,1,0
R2_ne,2,17
R2_ne,3,32
R2_ne,4,26
R2_ne,5,51
R2_ne,6,126
R2_ne,7,144
R2_ne,8,146
R2_ne,9,79
R2_ne,10,58
R2_ne,11,20
R2_ne,12,29
R2_ne,13,15
R2_ne,14,26
R2_ne,15,51
R2_ne,16,53
R2_ne,17,60
R2_ne,18,77
R2_ne,19,107
R2_ne,20,78
R2_ne,21,63
R2_ne,22,66
R2_ne,23,39
R2_ne,24,49
R2_ne,25,48
R2_ne,26,32
R2_ne,27,27
R2_ne,28,39
R2_ne,29,40
R2_ne,30,28
R2_ne,31,75
R2_ne,32,73
R2_ne,33,99
R2_ne,34,108
R2_ne,35,96
R2_ne,36,52
R2_ne,37,27
R2_ne,38,15
R2_ne,39,19
R2_ne,40,18
R2_ne,41,11
R2_ne,42,36
R2_ne,43,49
R2_ne,44,19
R2_ne,45,30
R2_ne,46,83
R2_ne,47,49
R2_ne,48,11
R2_ne,49,11
R2_ne,50,43
R2_ne,51,74
R2_ne,52,102
R2_ne,53,41
R2_ne,54,70
R2_ne,55,66
R2_ne,56,79
R2_ne,57,72
R2_ne,58,45
R2_ne,59,63
R2_ne,60,88
R2_ne,61,77
R2_ne,62,68
R2_ne,63,98
R2_ne,64,135
R2_ne,65,161
R2_ne,66,172
R2_ne,67,89
R2_ne,68,77
R2_ne,69,67
R2_ne,70,57
R2_ne,71,56
R2_ne,72,47
R2_ne,73,20
R2_ne,74,15
R2_ne,75,20
R2_ne,76,32
R2_ne,77,102
R2_ne,78,25
R3_sw,0,0
R3_sw,1,2
R3_sw,2,23
R3_sw,3,50
R3_sw,4,44
R3_sw,5,53
R3_sw,6,58
R3_sw,7,75
R3_sw,8,51
R3_sw,9,72
R3_sw,10,66
R3_sw,11,133
R3_sw,12,86
R3_sw,13,57
R3_sw,14,71
R3_sw,15,27
R3_sw,16,56
R3_sw,17,25
R3_sw,18,26
R3_sw,19,26
R3_sw,20,35
R3_sw,21,53
R3_sw,22,92
R3_sw,23,41
R3_sw,24,40
R3_sw,25,48
R3_sw,26,86
R3_sw,27,117
R3_sw,28,147
R3_sw,29,90
R3_sw,30,58
R3_sw,31,33
R3_sw,32,46
R3_sw,33,110
R3_sw,34,108
R3_sw,35,100
R3_sw,36,133
R3_sw,37,137
R3_sw,38,79
R3_sw,39,40
R3_sw,40,35
R3_sw,41,78
R3_sw,42,26
R3_sw,43,26
R3_sw,44,16
R3_sw,45,37
R3_sw,46,19
R3_sw,47,16
R3_sw,48,35
R3_sw,49,34
R3_sw,50,41
R3_sw,51,12
R3_sw,52,41
R3_sw,53,32
R3_sw,54,26
R3_sw,55,17
R3_sw,56,3
R3_sw,57,13
R3_sw,58,34
R3_sw,59,25
R3_sw,60,10
R3_sw,61,26
R3_sw,62,37
R3_sw,63,33
R3_sw,64,60
R3_sw,65,101
R3_sw,66,74
R3_sw,67,71
R3_sw,68,39
R3_sw,69,13
R3_sw,70,36
R3_sw,71,42
R3_sw,72,27
R3_sw,73,14
R3_sw,74,15
R3_sw,75,10
R3_sw,76,0
R3_sw,77,0
R3_sw,78,0
R4_se,0,0
R4_se,1,0
R4_se,2,12
R4_se,3,54
R4_se,4,132
R4_se,5,124
R4_se,6,73
R4_se,7,30
R4_se,8,35
R4_se,9,33
R4_se,10,4
R4_se,11,17
R4_se,12,42
R4_se,13,31
R4_se,14,45
R4_se,15,32
R4_se,16,68
R4_se,17,93
R4_se,18,137
R4_se,19,143
R4_se,20,135
R4_se,21,107
R4_se,22,89
R4_se,23,43
R4_se,24,36
R4_se,25,47
R4_se,26,51
R4_se,27,40
R4_se,28,22
R4_se,29,21
R4_se,30,2
R4_se,31,23
R4_se,32,20
R4_se,33,38
R4_se,34,53
R4_se,35,84
R4_se,36,75
R4_se,37,87
R4_se,38,105
R4_se,39,73
R4_se,40,49
R4_se,41,35
R4_se,42,20
R4_se,43,20
R4_se,44,49
R4_se,45,24
R4_se,46,48
R4_se,47,64
R4_se,48,37
R4_se,49,20
R4_se,50,35
R4_se,51,18
R4_se,52,31
R4_se,53,54
R4_se,54,52
R4_se,55,32
R4_se,56,38
R4_se,57,21
R4_se,58,54
R4_se,59,61
R4_se,60,132
R4_se,61,114
R4_se,62,148
R4_se,63,86
R4_se,64,134
R4_se,65,114
R4_se,66,78
R4_se,67,110
R4_se,68,100
R4_se,69,49
R4_se,70,9
R4_se,71,18
R4_se,72,1
R4_se,73,14
R4_se,74,16
R4_se,75,15
R4_se,76,0
R4_se,77,19
R4_se,78,4
