region,week,cases
R0_metro,0,26
R0_metro,1,101
R0_metro,2,132
R0_metro,3,164
R0_metro,4,182
R0_metro,5,220
R0_metro,6,251
R0_metro,7,284
R0_metro,8,318
R0_metro,9,295
R0_metro,10,405
R0_metro,11,391
R0_metro,12,385
R0_metro,13,410
R0_metro,14,530
R0_metro,15,598
R0_metro,16,677
R0_metro,17,627
R0_metro,18,548
R0_metro,19,566
R0_metro,20,618
R0_metro,21,573
R0_metro,22,544
R0_metro,23,445
R0_metro,24,453
R0_metro,25,465
R0_metro,26,424
R0_metro,27,340
R0_metro,28,348
R0_metro,29,324
R0_metro,30,287
R0_metro,31,285
R0_metro,32,256
R0_metro,33,233
R0_metro,34,242
R0_metro,35,246
R0_metro,36,204
R0_metro,37,190
R0_metro,38,156
R0_metro,39,196
R0_metro,40,214
R0_metro,41,191
R0_metro,42,132
R0_metro,43,119
R0_metro,44,165
R0_metro,45,172
R0_metro,46,165
R0_metro,47,194
R0_metro,48,195
R0_metro,49,167
R0_metro,50,210
R0_metro,51,225
R0_metro,52,246
R0_metro,53,251
R0_metro,54,259
R0_metro,55,235
R0_metro,56,207
R0_metro,57,225
R0_metro,58,274
R0_metro,59,263
R0_metro,60,267
R0_metro,61,281
R0_metro,62,252
R0_metro,63,259
R0_metro,64,278
R0_metro,65,265
R0_metro,66,235
R0_metro,67,285
R0_metro,68,371
R0_metro,69,426
R0_metro,70,415
R0_metro,71,364
R0_metro,72,395
R0_metro,73,394
R0_metro,74,397
R0_metro,75,467
R0_metro,76,511
R0_metro,77,422
R0_metro,78,431
R0_metro,79,428
R0_metro,80,399
R0_metro,81,347
R0_metro,82,356
R0_metro,83,309
R0_metro,84,307
R0_metro,85,296
R0_metro,86,231
R0_metro,87,205
R0_metro,88,120
R0_metro,89,97
R0_metro,90,131
R0_metro,91,85
R0_metro,92,95
R0_metro,93,121
R0_metro,94,101
R0_metro,95,126
R0_metro,96,110
R0_metro,97,156
R0_metro,98,143
R0_metro,99,111
R0_metro,100,158
R0_metro,101,144
R0_metro,102,195
R0_metro,103,181
R0_metro,104,222
R0_metro,105,230
R0_metro,106,211
R0_metro,107,222
R0_metro,108,170
R0_metro,109,199
R0_metro,110,170
R0_metro,111,156
R0_metro,112,169
R0_metro,113,193
R0_metro,114,220
R0_metro,115,160
R0_metro,116,170
R0_metro,117,202
R0_metro,118,211
R0_metro,119,233
R0_metro,120,260
R0_metro,121,309
R0_metro,122,328
R0_metro,123,391
R0_metro,124,370
R0_metro,125,398
R0_metro,126,426
R0_metro,127,407
R0_metro,128,398
R0_metro,129,393
R0_metro,130,346
R0_metro,131,330
R0_metro,132,318
R0_metro,133,265
R0_metro,134,204
R0_metro,135,175
R0_metro,136,192
R0_metro,137,214
R0_metro,138,233
R0_metro,139,194
R0_metro,140,180
R0_metro,141,161
R0_metro,142,168
R0_metro,143,148
R0_metro,144,173
R0_metro,145,164
R0_metro,146,205
R0_metro,147,197
R0_metro,148,195
R0_metro,149,180
R0_metro,150,210
R0_metro,151,248
R0_metro,152,343
R0_metro,153,344
R0_metro,154,346
R0_metro,155,388
R0_metro,156,153
R1_nw,0,0
R1_nw,1,5
R1_nw,2,7
R1_nw,3,1
R1_nw,4,3
R1_nw,5,23
R1_nw,6,22
R1_nw,7,18
R1_nw,8,11
R1_nw,9,29
R1_nw,10,43
R1_nw,11,36
R1_nw,12,40
R1_nw,13,31
R1_nw,14,26
R1_nw,15,26
R1_nw,16,52
R1_nw,17,36
R1_nw,18,46
R1_nw,19,66
R1_nw,20,77
R1_nw,21,82
R1_nw,22,81
R1_nw,23,62
R1_nw,24,102
R1_nw,25,71
R1_nw,26,59
R1_nw,27,37
R1_nw,28,50
R1_nw,29,50
R1_nw,30,29
R1_nw,31,54
R1_nw,32,45
R1_nw,33,50
R1_nw,34,55
R1_nw,35,32
R1_nw,36,32
R1_nw,37,22
R1_nw,38,15
R1_nw,39,14
R1_nw,40,17
R1_nw,41,6
R1_nw,42,10
R1_nw,43,9
R1_nw,44,13
R1_nw,45,21
R1_nw,46,32
R1_nw,47,21
R1_nw,48,8
R1_nw,49,2
R1_nw,50,12
R1_nw,51,26
R1_nw,52,29
R1_nw,53,23
R1_nw,54,19
R1_nw,55,13
R1_nw,56,18
R1_nw,57,31
R1_nw,58,14
R1_nw,59,17
R1_nw,60,43
R1_nw,61,35
R1_nw,62,43
R1_nw,63,26
R1_nw,64,43
R1_nw,65,37
R1_nw,66,56
R1_nw,67,72
R1_nw,68,66
R1_nw,69,48
R1_nw,70,49
R1_nw,71,40
R1_nw,72,55
R1_nw,73,61
R1_nw,74,52
R1_nw,75,56
R1_nw,76,65
R1_nw,77,96
R1_nw,78,82
R1_nw,79,60
R1_nw,80,66
R1_nw,81,67
R1_nw,82,44
R1_nw,83,28
R1_nw,84,33
R1_nw,85,31
R1_nw,86,28
R1_nw,87,11
R1_nw,88,8
R1_nw,89,6
R1_nw,90,19
R1_nw,91,5
R1_nw,92,8
R1_nw,93,6
R1_nw,94,7
R1_nw,95,4
R1_nw,96,19
R1_nw,97,10
R1_nw,98,4
R1_nw,99,7
R1_nw,100,20
R1_nw,101,2
R1_nw,102,5
R1_nw,103,0
R1_nw,104,5
R1_nw,105,2
R1_nw,106,2
