region,week,cases
R0_metro,0,27
R0_metro,1,63
R0_metro,2,62
R0_metro,3,93
R0_metro,4,140
R0_metro,5,199
R0_metro,6,271
R0_metro,7,402
R0_metro,8,513
R0_metro,9,689
R0_metro,10,806
R0_metro,11,1129
R0_metro,12,1468
R0_metro,13,1762
R0_metro,14,2340
R0_metro,15,3119
R0_metro,16,4034
R0_metro,17,4860
R0_metro,18,5819
R0_metro,19,6944
R0_metro,20,8441
R0_metro,21,9553
R0_metro,22,10359
R0_metro,23,11205
R0_metro,24,12054
R0_metro,25,12104
R0_metro,26,11711
R0_metro,27,11419
R0_metro,28,11400
R0_metro,29,11258
R0_metro,30,10743
R0_metro,31,10548
R0_metro,32,10242
R0_metro,33,9889
R0_metro,34,9559
R0_metro,35,9100
R0_metro,36,8881
R0_metro,37,7944
R0_metro,38,7787
R0_metro,39,7319
R0_metro,40,6964
R0_metro,41,6413
R0_metro,42,6022
R0_metro,43,5676
R0_metro,44,5370
R0_metro,45,5042
R0_metro,46,4881
R0_metro,47,4715
R0_metro,48,4486
R0_metro,49,4558
R0_metro,50,4454
R0_metro,51,4278
R0_metro,52,4275
R0_metro,53,4182
R0_metro,54,4138
R0_metro,55,4248
R0_metro,56,4316
R0_metro,57,4293
R0_metro,58,4386
R0_metro,59,4547
R0_metro,60,4621
R0_metro,61,4757
R0_metro,62,5115
R0_metro,63,5354
R0_metro,64,5872
R0_metro,65,5897
R0_metro,66,5940
R0_metro,67,6229
R0_metro,68,6497
R0_metro,69,6340
R0_metro,70,6184
R0_metro,71,5725
R0_metro,72,5293
R0_metro,73,5057
R0_metro,74,4712
R0_metro,75,4172
R0_metro,76,3671
R0_metro,77,3365
R0_metro,78,2874
R0_metro,79,2469
R0_metro,80,2177
R0_metro,81,1801
R0_metro,82,1441
R0_metro,83,1183
R0_metro,84,967
R0_metro,85,720
R0_metro,86,601
R0_metro,87,491
R0_metro,88,396
R0_metro,89,270
R0_metro,90,157
R0_metro,91,97
R0_metro,92,62
R0_metro,93,58
R0_metro,94,42
R0_metro,95,42
R0_metro,96,38
R0_metro,97,29
R0_metro,98,25
R0_metro,99,36
R0_metro,100,15
R0_metro,101,17
R0_metro,102,17
R0_metro,103,11
R0_metro,104,11
R0_metro,105,3
R0_metro,106,6
R0_metro,107,17
R0_metro,108,18
R0_metro,109,10
R0_metro,110,10
R0_metro,111,3
R0_metro,112,0
R0_metro,113,7
R0_metro,114,1
R0_metro,115,6
R0_metro,116,4
R0_metro,117,2
R0_metro,118,0
R0_metro,119,0
R0_metro,120,0
R0_metro,121,0
R0_metro,122,0
R0_metro,123,3
R0_metro,124,3
R0_metro,125,5
R0_metro,126,0
R0_metro,127,0
R0_metro,128,0
R0_metro,129,0
R0_metro,130,0
R0_metro,131,0
R0_metro,132,0
R0_metro,133,0
R0_metro,134,0
R0_metro,135,0
R0_metro,136,0
R0_metro,137,0
R0_metro,138,0
R0_metro,139,0
R0_metro,140,0
R0_metro,141,0
R0_metro,142,0
R0_metro,143,2
R0_metro,144,5
R0_metro,145,6
R0_metro,146,9
R0_metro,147,6
R0_metro,148,11
R0_metro,149,6
R0_metro,150,0
R0_metro,151,0
R0_metro,152,0
R0_metro,153,0
R0_metro,154,0
R0_metro,155,0
R0_metro,156,0
R1_nw,0,0
R1_nw,1,0
R1_nw,2,0
R1_nw,3,0
R1_nw,4,0
R1_nw,5,0
R1_nw,6,0
R1_nw,7,0
R1_nw,8,0
R1_nw,9,5
R1_nw,10,12
R1_nw,11,10
R1_nw,12,11
R1_nw,13,4
R1_nw,14,15
R1_nw,15,55
R1_nw,16,58
R1_nw,17,81
R1_nw,18,90
R1_nw,19,130
R1_nw,20,165
R1_nw,21,188
R1_nw,22,256
R1_nw,23,288
R1_nw,24,383
R1_nw,25,487
R1_nw,26,648
R1_nw,27,715
R1_nw,28,743
R1_nw,29,813
R1_nw,30,920
R1_nw,31,901
R1_nw,32,916
R1_nw,33,917
R1_nw,34,1015
R1_nw,35,914
R1_nw,36,813
R1_nw,37,778
R1_nw,38,880
R1_nw,39,851
R1_nw,40,716
R1_nw,41,718
R1_nw,42,722
R1_nw,43,648
R1_nw,44,604
R1_nw,45,532
R1_nw,46,496
R1_nw,47,480
R1_nw,48,556
R1_nw,49,554
R1_nw,50,556
R1_nw,51,607
R1_nw,52,519
R1_nw,53,541
R1_nw,54,617
R1_nw,55,673
R1_nw,56,657
R1_nw,57,720
R1_nw,58,808
R1_nw,59,818
R1_nw,60,866
R1_nw,61,910
R1_nw,62,958
R1_nw,63,1015
R1_nw,64,910
R1_nw,65,1020
R1_nw,66,1087
R1_nw,67,986
R1_nw,68,1061
R1_nw,69,1082
R1_nw,70,1027
R1_nw,71,983
R1_nw,72,888
R1_nw,73,904
R1_nw,74,809
R1_nw,75,703
R1_nw,76,555
R1_nw,77,427
R1_nw,78,404
R1_nw,79,388
R1_nw,80,321
R1_nw,81,268
R1_nw,82,238
R1_nw,83,186
R1_nw,84,126
R1_nw,85,105
R1_nw,86,88
R1_nw,87,68
R1_nw,88,51
R1_nw,89,44
R1_nw,90,28
R1_nw,91,16
R1_nw,92,2
R1_nw,93,0
R1_nw,94,0
R1_nw,95,0
R1_nw,96,0
R1_nw,97,0
R1_nw,98,0
R1_nw,99,0
R1_nw,100,0
R1_nw,101,0
R1_nw,102,0
R1_nw,103,0
R1_nw,104,0
R1_nw,105,0
R1_nw,106,0
R1_nw,107,0
R1_nw,108,0
R1_nw,109,0
R1_nw,110,0
R1_nw,111,0
R1_nw,112,0
R1_nw,113,0
R1_nw,114,0
R1_nw,115,0
R1_nw,116,0
R1_nw,117,0
R1_nw,118,0
R1_nw,119,0
R1_nw,120,0
R1_nw,121,0
R1_nw,122,0
R1_nw,123,0
R1_nw,124,0
R1_nw,125,0
R1_nw,126,0
R1_nw,127,0
R1_nw,128,0
R1_nw,129,0
R1_nw,130,0
R1_nw,131,0
R1_nw,132,0
R1_nw,133,0
R1_nw,134,0
R1_nw,135,0
R1_nw,136,0
R1_nw,137,0
R1_nw,138,0
R1_nw,139,0
R1_nw,140,0
R1_nw,141,0
R1_nw,142,0
R1_nw,143,0
R1_nw,144,0
R1_nw,145,0
R1_nw,146,0
R1_nw,147,0
R1_nw,148,0
R1_nw,149,0
R1_nw,150,0
R1_nw,151,0
R1_nw,152,0
R1_nw,153,0
R1_nw,154,0
R1_nw,155,0
R1_nw,156,0
R2_ne,0,0
R2_ne,1,0
R2_ne,2,0
R2_ne,3,0
R2_ne,4,0
R2_ne,5,0
R2_ne,6,5
R2_ne,7,6
R2_ne,8,0
R2_ne,9,0
R2_ne,10,5
R2_ne,11,3
R2_ne,12,11
R2_ne,13,23
R2_ne,14,19
R2_ne,15,4
R2_ne,16,9
R2_ne,17,52
R2_ne,18,52
R2_ne,19,50
R2_ne,20,76
R2_ne,21,132
R2_ne,22,188
R2_ne,23,232
R2_ne,24,269
R2_ne,25,357
R2_ne,26,374
R2_ne,27,490
R2_ne,28,543
R2_ne,29,646
R2_ne,30,661
R2_ne,31,678
R2_ne,32,679
R2_ne,33,916
R2_ne,34,897
R2_ne,35,865
R2_ne,36,762
R2_ne,37,631
R2_ne,38,620
R2_ne,39,475
R2_ne,40,409
R2_ne,41,344
R2_ne,42,307
R2_ne,43,277
R2_ne,44,280
R2_ne,45,300
R2_ne,46,232
R2_ne,47,190
R2_ne,48,236
R2_ne,49,198
R2_ne,50,168
R2_ne,51,200
R2_ne,52,233
R2_ne,53,273
R2_ne,54,367
R2_ne,55,442
R2_ne,56,545
R2_ne,57,655
R2_ne,58,660
R2_ne,59,830
R2_ne,60,991
R2_ne,61,1155
R2_ne,62,1303
R2_ne,63,1424
R2_ne,64,1489
R2_ne,65,1585
R2_ne,66,1734
R2_ne,67,1754
R2_ne,68,1719
R2_ne,69,1611
R2_ne,70,1388
R2_ne,71,1177
R2_ne,72,1194
R2_ne,73,1077
R2_ne,74,1022
R2_ne,75,888
R2_ne,76,870
R2_ne,77,805
R2_ne,78,867
R2_ne,79,729
R2_ne,80,666
R2_ne,81,517
R2_ne,82,492
R2_ne,83,396
R2_ne,84,410
R2_ne,85,290
R2_ne,86,258
R2_ne,87,245
R2_ne,88,227
R2_ne,89,207
R2_ne,90,195
R2_ne,91,175
R2_ne,92,174
R2_ne,93,156
R2_ne,94,182
R2_ne,95,188
R2_ne,96,181
R2_ne,97,193
R2_ne,98,174
R2_ne,99,154
R2_ne,100,121
R2_ne,101,153
R2_ne,102,122
R2_ne,103,150
R2_ne,104,132
R2_ne,105,164
R2_ne,106,167
R2_ne,107,179
R2_ne,108,139
R2_ne,109,184
R2_ne,110,216
R2_ne,111,156
R2_ne,112,164
R2_ne,113,136
R2_ne,114,154
R2_ne,115,171
R2_ne,116,156
R2_ne,117,117
R2_ne,118,127
R2_ne,119,141
R2_ne,120,100
R2_ne,121,104
R2_ne,122,91
R2_ne,123,110
R2_ne,124,103
R2_ne,125,86
R2_ne,126,83
R2_ne,127,67
R2_ne,128,42
R2_ne,129,43
R2_ne,130,51
R2_ne,131,78
R2_ne,132,45
R2_ne,133,20
R2_ne,134,6
R2_ne,135,7
R2_ne,136,5
R2_ne,137,6
R2_ne,138,2
R2_ne,139,7
R2_ne,140,1
R2_ne,141,0
R2_ne,142,0
R2_ne,143,0
R2_ne,144,0
R2_ne,145,0
R2_ne,146,0
R2_ne,147,0
R2_ne,148,0
R2_ne,149,0
R2_ne,150,0
R2_ne,151,0
R2_ne,152,0
R2_ne,153,0
R2_ne,154,0
R2_ne,155,0
R2_ne,156,0
R3_sw,0,0
R3_sw,1,0
R3_sw,2,0
R3_sw,3,0
R3_sw,4,0
R3_sw,5,0
R3_sw,6,0
R3_sw,7,0
R3_sw,8,0
R3_sw,9,0
R3_sw,10,0
R3_sw,11,0
R3_sw,12,0
R3_sw,13,0
R3_sw,14,0
R3_sw,15,0
R3_sw,16,2
R3_sw,17,5
R3_sw,18,11
R3_sw,19,20
R3_sw,20,34
R3_sw,21,56
R3_sw,22,79
R3_sw,23,74
R3_sw,24,120
R3_sw,25,142
R3_sw,26,165
R3_sw,27,244
R3_sw,28,277
