region,biweek,cases
R0_metro,0,90
R0_metro,1,155
R0_metro,2,339
R0_metro,3,673
R0_metro,4,1202
R0_metro,5,1935
R0_metro,6,3230
R0_metro,7,5459
R0_metro,8,8894
R0_metro,9,12763
R0_metro,10,17994
R0_metro,11,21564
R0_metro,12,24158
R0_metro,13,23130
R0_metro,14,22658
R0_metro,15,21291
R0_metro,16,20131
R0_metro,17,18659
R0_metro,18,16825
R0_metro,19,15106
R0_metro,20,13377
R0_metro,21,11698
R0_metro,22,10412
R0_metro,23,9596
R0_metro,24,9044
R0_metro,25,8732
R0_metro,26,8457
R0_metro,27,8386
R0_metro,28,8609
R0_metro,29,8933
R0_metro,30,9378
R0_metro,31,10469
R0_metro,32,11769
R0_metro,33,12169
R0_metro,34,12837
R0_metro,35,11909
R0_metro,36,10350
R0_metro,37,8884
R0_metro,38,7036
R0_metro,39,5343
R0_metro,40,3978
R0_metro,41,2624
R0_metro,42,1687
R0_metro,43,1092
R0_metro,44,666
R0_metro,45,254
R0_metro,46,120
R0_metro,47,84
R0_metro,48,67
R0_metro,49,61
R0_metro,50,32
R0_metro,51,28
R0_metro,52,14
R0_metro,53,23
R0_metro,54,28
R0_metro,55,13
R0_metro,56,7
R0_metro,57,7
R0_metro,58,6
R0_metro,59,0
R0_metro,60,0
R0_metro,61,3
R0_metro,62,8
R0_metro,63,0
R0_metro,64,0
R0_metro,65,0
R0_metro,66,0
R0_metro,67,0
R0_metro,68,0
R0_metro,69,0
R0_metro,70,0
R0_metro,71,2
R0_metro,72,11
R0_metro,73,15
R0_metro,74,17
R0_metro,75,0
R0_metro,76,0
R0_metro,77,0
R0_metro,78,0
R1_nw,0,0
R1_nw,1,0
R1_nw,2,0
R1_nw,3,0
R1_nw,4,5
R1_nw,5,22
R1_nw,6,15
R1_nw,7,70
R1_nw,8,139
R1_nw,9,220
R1_nw,10,353
R1_nw,11,544
R1_nw,12,870
R1_nw,13,1363
R1_nw,14,1556
R1_nw,15,1821
R1_nw,16,1833
R1_nw,17,1929
R1_nw,18,1591
R1_nw,19,1731
R1_nw,20,1434
R1_nw,21,1370
R1_nw,22,1136
R1_nw,23,976
R1_nw,24,1110
R1_nw,25,1163
R1_nw,26,1060
R1_nw,27,1290
R1_nw,28,1377
R1_nw,29,1626
R1_nw,30,1776
R1_nw,31,1973
R1_nw,32,1930
R1_nw,33,2073
R1_nw,34,2143
R1_nw,35,2010
R1_nw,36,1792
R1_nw,37,1512
R1_nw,38,982
R1_nw,39,792
R1_nw,40,589
R1_nw,41,424
R1_nw,42,231
R1_nw,43,156
R1_nw,44,95
R1_nw,45,44
R1_nw,46,2
R1_nw,47,0
R1_nw,48,0
R1_nw,49,0
R1_nw,50,0
R1_nw,51,0
R1_nw,52,0
R1_nw,53,0
R1_nw,54,0
R1_nw,55,0
R1_nw,56,0
R1_nw,57,0
R1_nw,58,0
R1_nw,59,0
R1_nw,60,0
R1_nw,61,0
R1_nw,62,0
R1_nw,63,0
R1_nw,64,0
R1_nw,65,0
R1_nw,66,0
R1_nw,67,0
R1_nw,68,0
R1_nw,69,0
R1_nw,70,0
R1_nw,71,0
R1_nw,72,0
R1_nw,73,0
R1_nw,74,0
R1_nw,75,0
R1_nw,76,0
R1_nw,77,0
R1_nw,78,0
R2_ne,0,0
R2_ne,1,0
R2_ne,2,0
R2_ne,3,11
R2_ne,4,0
R2_ne,5,8
R2_ne,6,34
R2_ne,7,23
R2_ne,8,61
R2_ne,9,102
R2_ne,10,208
R2_ne,11,420
R2_ne,12,626
R2_ne,13,864
R2_ne,14,1189
R2_ne,15,1339
R2_ne,16,1595
R2_ne,17,1762
R2_ne,18,1393
R2_ne,19,1095
R2_ne,20,753
R2_ne,21,584
R2_ne,22,580
R2_ne,23,422
R2_ne,24,434
R2_ne,25,368
R2_ne,26,506
R2_ne,27,809
R2_ne,28,1200
R2_ne,29,1490
R2_ne,30,2146
R2_ne,31,2727
R2_ne,32,3074
R2_ne,33,3488
R2_ne,34,3330
R2_ne,35,2565
R2_ne,36,2271
R2_ne,37,1910
R2_ne,38,1675
R2_ne,39,1596
R2_ne,40,1183
R2_ne,41,888
R2_ne,42,700
R2_ne,43,503
R2_ne,44,434
R2_ne,45,370
R2_ne,46,330
R2_ne,47,370
R2_ne,48,374
R2_ne,49,328
R2_ne,50,274
R2_ne,51,272
R2_ne,52,296
R2_ne,53,346
R2_ne,54,323
R2_ne,55,372
R2_ne,56,300
R2_ne,57,325
R2_ne,58,273
R2_ne,59,268
R2_ne,60,204
R2_ne,61,201
R2_ne,62,189
R2_ne,63,150
R2_ne,64,85
R2_ne,65,129
R2_ne,66,65
R2_ne,67,13
R2_ne,68,11
R2_ne,69,9
R2_ne,70,1
R2_ne,71,0
R2_ne,72,0
R2_ne,73,0
R2_ne,74,0
R2_ne,75,0
R2_ne,76,0
R2_ne,77,0
R2_ne,78,0
R3_sw,0,0
R3_sw,1,0
R3_sw,2,0
R3_sw,3,0
R3_sw,4,0
R3_sw,5,0
R3_sw,6,0
R3_sw,7,0
R3_sw,8,7
R3_sw,9,31
R3_sw,10,90
R3_sw,11,153
R3_sw,12,262
R3_sw,13,409
R3_sw,14,638
R3_sw,15,888
R3_sw,16,1084
R3_sw,17,1151
R3_sw,18,1264
R3_sw,19,1371
R3_sw,20,1524
R3_sw,21,1546
R3_sw,22,1589
R3_sw,23,1456
R3_sw,24,1373
R3_sw,25,1474
R3_sw,26,1631
R3_sw,27,1901
R3_sw,28,2405
R3_sw,29,2827
R3_sw,30,3226
R3_sw,31,3675
R3_sw,32,4033
R3_sw,33,3771
R3_sw,34,3170
R3_sw,35,2932
R3_sw,36,2655
R3_sw,37,1969
R3_sw,38,1304
R3_sw,39,970
R3_sw,40,632
R3_sw,41,431
R3_sw,42,223
R3_sw,43,157
R3_sw,44,135
R3_sw,45,72
R3_sw,46,31
R3_sw,47,16
R3_sw,48,17
R3_sw,49,6
R3_sw,50,0
R3_sw,51,0
R3_sw,52,0
R3_sw,53,0
R3_sw,54,0
R3_sw,55,0
R3_sw,56,0
R3_sw,57,0
R3_sw,58,0
R3_sw,59,0
R3_sw,60,7
R3_sw,61,0
R3_sw,62,0
R3_sw,63,0
R3_sw,64,0
R3_sw,65,0
R3_sw,66,0
R3_sw,67,0
R3_sw,68,0
R3_sw,69,0
R3_sw,70,0
R3_sw,71,0
R3_sw,72,0
R3_sw,73,0
R3_sw,74,0
R3_sw,75,0
R3_sw,76,0
R3_sw,77,0
R3_sw,78,0
R4_se,0,0
R4_se,1,0
R4_se,2,0
R4_se,3,0
R4_se,4,0
R4_se,5,0
R4_se,6,0
R4_se,7,0
R4_se,8,6
R4_se,9,21
R4_se,10,8
R4_se,11,8
R4_se,12,73
R4_se,13,107
R4_se,14,127
R4_se,15,270
R4_se,16,377
R4_se,17,507
R4_se,18,551
R4_se,19,723
R4_se,20,704
R4_se,21,754
R4_se,22,717
R4_se,23,635
R4_se,24,851
R4_se,25,1014
R4_se,26,1286
R4_se,27,1742
R4_se,28,2187
R4_se,29,3027
R4_se,30,3840
R4_se,31,4854
R4_se,32,6079
R4_se,33,6339
R4_se,34,5657
R4_se,35,4785
R4_se,36,3325
R4_se,37,2533
R4_se,38,1917
R4_se,39,1532
R4_se,40,1133
R4_se,41,626
R4_se,42,373
R4_se,43,161
R4_se,44,98
R4_se,45,73
R4_se,46,29
R4_se,47,18
R4_se,48,1
R4_se,49,0
R4_se,50,0
R4_se,51,0
R4_se,52,0
R4_se,53,0
R4_se,54,0
R4_se,55,0
R4_se,56,0
R4_se,57,0
R4_se,58,0
R4_se,59,0
R4_se,60,0
R4_se,61,0
R4_se,62,0
R4_se,63,0
R4_se,64,0
R4_se,65,0
R4_se,66,0
R4_se,67,0
R4_se,68,0
R4_se,69,0
R4_se,70,0
R4_se,71,0
R4_se,72,0
R4_se,73,0
R4_se,74,0
R4_se,75,0
R4_se,76,0
R4_se,77,0
R4_se,78,0
