region,biweek,cases
R0_metro,0,71
R0_metro,1,78
R0_metro,2,147
R0_metro,3,296
R0_metro,4,629
R0_metro,5,944
R0_metro,6,1697
R0_metro,7,2731
R0_metro,8,4720
R0_metro,9,7403
R0_metro,10,11029
R0_metro,11,15049
R0_metro,12,18252
R0_metro,13,20702
R0_metro,14,20590
R0_metro,15,19044
R0_metro,16,16623
R0_metro,17,14588
R0_metro,18,12026
R0_metro,19,10452
R0_metro,20,9581
R0_metro,21,7926
R0_metro,22,7269
R0_metro,23,7188
R0_metro,24,7805
R0_metro,25,8137
R0_metro,26,9197
R0_metro,27,10297
R0_metro,28,11565
R0_metro,29,13609
R0_metro,30,16473
R0_metro,31,19098
R0_metro,32,22668
R0_metro,33,25200
R0_metro,34,26350
R0_metro,35,25577
R0_metro,36,22266
R0_metro,37,17353
R0_metro,38,11871
R0_metro,39,7558
R0_metro,40,4472
R0_metro,41,2581
R0_metro,42,1392
R0_metro,43,681
R0_metro,44,420
R0_metro,45,215
R0_metro,46,98
R0_metro,47,32
R0_metro,48,13
R0_metro,49,6
R0_metro,50,4
R0_metro,51,3
R0_metro,52,15
R0_metro,53,2
R0_metro,54,0
R0_metro,55,0
R0_metro,56,0
R0_metro,57,0
R0_metro,58,0
R0_metro,59,0
R0_metro,60,0
R0_metro,61,0
R0_metro,62,0
R0_metro,63,0
R0_metro,64,6
R0_metro,65,10
R0_metro,66,15
R0_metro,67,16
R0_metro,68,0
R0_metro,69,0
R0_metro,70,12
R0_metro,71,12
R0_metro,72,14
R0_metro,73,12
R0_metro,74,0
R0_metro,75,0
R0_metro,76,0
R0_metro,77,0
R0_metro,78,0
R1_nw,0,0
R1_nw,1,0
R1_nw,2,0
R1_nw,3,0
R1_nw,4,0
R1_nw,5,2
R1_nw,6,7
R1_nw,7,15
R1_nw,8,48
R1_nw,9,39
R1_nw,10,75
R1_nw,11,97
R1_nw,12,235
R1_nw,13,378
R1_nw,14,398
R1_nw,15,473
R1_nw,16,795
R1_nw,17,802
R1_nw,18,804
R1_nw,19,782
R1_nw,20,819
R1_nw,21,638
R1_nw,22,847
R1_nw,23,945
R1_nw,24,1028
R1_nw,25,897
R1_nw,26,1189
R1_nw,27,1380
R1_nw,28,1989
R1_nw,29,2503
R1_nw,30,3081
R1_nw,31,3752
R1_nw,32,4447
R1_nw,33,4865
R1_nw,34,4368
R1_nw,35,3742
R1_nw,36,3166
R1_nw,37,2341
R1_nw,38,2055
R1_nw,39,1771
R1_nw,40,1223
R1_nw,41,896
R1_nw,42,804
R1_nw,43,451
R1_nw,44,228
R1_nw,45,159
R1_nw,46,82
R1_nw,47,6
R1_nw,48,6
R1_nw,49,0
R1_nw,50,0
R1_nw,51,0
