region,biweek,cases
R0_metro,0,75
R0_metro,1,78
R0_metro,2,121
R0_metro,3,291
R0_metro,4,653
R0_metro,5,1128
R0_metro,6,2158
R0_metro,7,3697
R0_metro,8,6464
R0_metro,9,10162
R0_metro,10,15597
R0_metro,11,20092
R0_metro,12,23948
R0_metro,13,24761
R0_metro,14,23963
R0_metro,15,21965
R0_metro,16,19018
R0_metro,17,16316
R0_metro,18,13264
R0_metro,19,11719
R0_metro,20,10751
R0_metro,21,9616
R0_metro,22,8837
R0_metro,23,8041
R0_metro,24,7936
R0_metro,25,8108
R0_metro,26,8233
R0_metro,27,9272
R0_metro,28,10179
R0_metro,29,12285
R0_metro,30,14291
R0_metro,31,15951
R0_metro,32,17611
R0_metro,33,19477
R0_metro,34,19725
R0_metro,35,18336
R0_metro,36,15442
R0_metro,37,11812
R0_metro,38,8068
R0_metro,39,5575
R0_metro,40,3754
R0_metro,41,2222
R0_metro,42,1551
R0_metro,43,941
R0_metro,44,452
R0_metro,45,186
R0_metro,46,135
R0_metro,47,42
R0_metro,48,29
R0_metro,49,32
R0_metro,50,49
R0_metro,51,23
R0_metro,52,0
R0_metro,53,0
R0_metro,54,2
R0_metro,55,18
R0_metro,56,15
R0_metro,57,37
R0_metro,58,39
R0_metro,59,5
R0_metro,60,0
R0_metro,61,0
R0_metro,62,3
R0_metro,63,13
R0_metro,64,5
R0_metro,65,0
R0_metro,66,0
R0_metro,67,0
R0_metro,68,0
R0_metro,69,4
R0_metro,70,1
R0_metro,71,0
R0_metro,72,1
R0_metro,73,7
R0_metro,74,0
R0_metro,75,0
R0_metro,76,0
R0_metro,77,0
R0_metro,78,0
R1_nw,0,0
R1_nw,1,0
R1_nw,2,0
R1_nw,3,0
R1_nw,4,0
R1_nw,5,0
R1_nw,6,0
R1_nw,7,31
R1_nw,8,54
R1_nw,9,101
R1_nw,10,195
R1_nw,11,340
R1_nw,12,538
R1_nw,13,610
R1_nw,14,822
R1_nw,15,1043
R1_nw,16,1176
R1_nw,17,1190
R1_nw,18,1076
R1_nw,19,975
R1_nw,20,898
R1_nw,21,694
R1_nw,22,515
R1_nw,23,546
R1_nw,24,574
R1_nw,25,843
R1_nw,26,864
R1_nw,27,1200
R1_nw,28,1637
R1_nw,29,2210
R1_nw,30,3049
R1_nw,31,3507
R1_nw,32,4193
R1_nw,33,4360
R1_nw,34,4172
R1_nw,35,3639
R1_nw,36,3364
R1_nw,37,2795
R1_nw,38,2020
R1_nw,39,1291
R1_nw,40,766
R1_nw,41,450
R1_nw,42,211
R1_nw,43,146
R1_nw,44,107
R1_nw,45,80
R1_nw,46,67
R1_nw,47,34
R1_nw,48,11
R1_nw,49,0
R1_nw,50,0
R1_nw,51,0
R1_nw,52,0
R1_nw,53,0
R1_nw,54,0
R1_nw,55,0
R1_nw,56,0
R1_nw,57,0
R1_nw,58,0
R1_nw,59,0
R1_nw,60,0
R1_nw,61,0
R1_nw,62,0
R1_nw,63,0
R1_nw,64,0
R1_nw,65,0
R1_nw,66,0
R1_nw,67,0
R1_nw,68,0
R1_nw,69,0
R1_nw,70,0
R1_nw,71,0
R1_nw,72,0
R1_nw,73,0
R1_nw,74,0
R1_nw,75,0
R1_nw,76,0
R1_nw,77,16
R1_nw,78,4
R2_ne,0,0
R2_ne,1,0
R2_ne,2,0
R2_ne,3,0
R2_ne,4,0
R2_ne,5,0
R2_ne,6,0
R2_ne,7,0
R2_ne,8,9
R2_ne,9,12
R2_ne,10,20
R2_ne,11,25
R2_ne,12,39
R2_ne,13,114
R2_ne,14,143
R2_ne,15,178
R2_ne,16,168
R2_ne,17,222
R2_ne,18,328
R2_ne,19,406
R2_ne,20,486
R2_ne,21,370
R2_ne,22,448
R2_ne,23,531
R2_ne,24,557
R2_ne,25,731
R2_ne,26,1092
R2_ne,27,1496
R2_ne,28,2029
R2_ne,29,2884
R2_ne,30,3990
R2_ne,31,5227
R2_ne,32,6250
R2_ne,33,6704
R2_ne,34,6092
R2_ne,35,5832
R2_ne,36,5058
R2_ne,37,3871
R2_ne,38,2803
R2_ne,39,1758
R2_ne,40,985
R2_ne,41,524
R2_ne,42,347
R2_ne,43,217
