region,biweek,cases
R0_metro,0,78
R0_metro,1,137
R0_metro,2,301
R0_metro,3,668
R0_metro,4,1321
R0_metro,5,2352
R0_metro,6,3620
R0_metro,7,5898
R0_metro,8,9501
R0_metro,9,13738
R0_metro,10,19430
R0_metro,11,23176
R0_metro,12,25278
R0_metro,13,24721
R0_metro,14,24415
R0_metro,15,23145
R0_metro,16,21824
R0_metro,17,19913
R0_metro,18,17872
R0_metro,19,15332
R0_metro,20,13268
R0_metro,21,10765
R0_metro,22,9258
R0_metro,23,8287
R0_metro,24,7714
R0_metro,25,7348
R0_metro,26,6899
R0_metro,27,6960
R0_metro,28,7439
R0_metro,29,7760
R0_metro,30,8703
R0_metro,31,8783
R0_metro,32,8916
R0_metro,33,9146
R0_metro,34,9192
R0_metro,35,9272
R0_metro,36,8649
R0_metro,37,7354
R0_metro,38,6017
R0_metro,39,4422
R0_metro,40,3243
R0_metro,41,2101
R0_metro,42,1569
R0_metro,43,1083
R0_metro,44,925
R0_metro,45,626
R0_metro,46,365
R0_metro,47,261
R0_metro,48,229
R0_metro,49,227
R0_metro,50,181
R0_metro,51,143
R0_metro,52,198
R0_metro,53,161
R0_metro,54,91
R0_metro,55,147
R0_metro,56,183
R0_metro,57,297
R0_metro,58,243
R0_metro,59,242
R0_metro,60,294
R0_metro,61,208
R0_metro,62,170
R0_metro,63,192
R0_metro,64,201
R0_metro,65,196
R0_metro,66,97
R0_metro,67,59
R0_metro,68,61
R0_metro,69,6
R0_metro,70,0
R0_metro,71,15
R0_metro,72,2
R0_metro,73,0
R0_metro,74,0
R0_metro,75,0
R0_metro,76,0
R0_metro,77,0
R0_metro,78,0
R1_nw,0,0
R1_nw,1,0
R1_nw,2,0
R1_nw,3,0
R1_nw,4,0
R1_nw,5,0
R1_nw,6,0
R1_nw,7,33
R1_nw,8,90
R1_nw,9,199
R1_nw,10,400
R1_nw,11,707
R1_nw,12,1104
R1_nw,13,1331
R1_nw,14,1695
R1_nw,15,2083
R1_nw,16,1830
R1_nw,17,1622
R1_nw,18,1384
R1_nw,19,1407
R1_nw,20,1293
R1_nw,21,1045
R1_nw,22,1045
R1_nw,23,1034
R1_nw,24,1024
R1_nw,25,1085
R1_nw,26,1106
R1_nw,27,1104
R1_nw,28,1200
R1_nw,29,1531
R1_nw,30,1948
R1_nw,31,2527
R1_nw,32,3269
R1_nw,33,3831
R1_nw,34,4008
R1_nw,35,4138
R1_nw,36,3322
R1_nw,37,2173
R1_nw,38,1435
R1_nw,39,852
R1_nw,40,559
R1_nw,41,332
R1_nw,42,191
R1_nw,43,119
R1_nw,44,59
R1_nw,45,0
R1_nw,46,0
R1_nw,47,0
R1_nw,48,0
R1_nw,49,0
R1_nw,50,0
R1_nw,51,0
R1_nw,52,0
R1_nw,53,0
R1_nw,54,0
R1_nw,55,0
R1_nw,56,0
R1_nw,57,0
R1_nw,58,0
R1_nw,59,0
R1_nw,60,0
R1_nw,61,0
R1_nw,62,0
R1_nw,63,0
R1_nw,64,0
R1_nw,65,0
R1_nw,66,0
R1_nw,67,0
R1_nw,68,0
R1_nw,69,0
R1_nw,70,0
R1_nw,71,0
R1_nw,72,0
R1_nw,73,0
R1_nw,74,0
R1_nw,75,0
R1_nw,76,0
R1_nw,77,0
R1_nw,78,0
R2_ne,0,0
R2_ne,1,0
R2_ne,2,0
R2_ne,3,0
R2_ne,4,0
R2_ne,5,0
R2_ne,6,4
R2_ne,7,23
R2_ne,8,26
R2_ne,9,24
R2_ne,10,46
R2_ne,11,156
R2_ne,12,365
R2_ne,13,643
R2_ne,14,865
R2_ne,15,1117
R2_ne,16,1344
R2_ne,17,1479
R2_ne,18,1562
R2_ne,19,1501
R2_ne,20,1323
R2_ne,21,1323
R2_ne,22,1385
R2_ne,23,1106
R2_ne,24,1175
R2_ne,25,1365
R2_ne,26,1698
R2_ne,27,2157
R2_ne,28,2879
R2_ne,29,3435
R2_ne,30,4035
R2_ne,31,4401
R2_ne,32,4467
R2_ne,33,4271
R2_ne,34,3354
R2_ne,35,2679
R2_ne,36,2044
R2_ne,37,1272
R2_ne,38,845
R2_ne,39,682
R2_ne,40,506
R2_ne,41,331
R2_ne,42,199
R2_ne,43,92
R2_ne,44,25
R2_ne,45,22
R2_ne,46,16
R2_ne,47,27
R2_ne,48,0
R2_ne,49,0
R2_ne,50,0
R2_ne,51,0
R2_ne,52,0
R2_ne,53,0
R2_ne,54,0
R2_ne,55,0
R2_ne,56,0
R2_ne,57,0
R2_ne,58,0
R2_ne,59,0
R2_ne,60,0
R2_ne,61,0
R2_ne,62,0
R2_ne,63,2
R2_ne,64,14
R2_ne,65,16
R2_ne,66,0
R2_ne,67,0
R2_ne,68,0
R2_ne,69,0
R2_ne,70,0
R2_ne,71,0
R2_ne,72,0
R2_ne,73,0
R2_ne,74,0
R2_ne,75,0
R2_ne,76,0
R2_ne,77,0
R2_ne,78,0
R3_sw,0,0
R3_sw,1,0
R3_sw,2,0
R3_sw,3,0
R3_sw,4,8
R3_sw,5,14
R3_sw,6,22
R3_sw,7,93
R3_sw,8,200
R3_sw,9,319
R3_sw,10,479
R3_sw,11,794
R3_sw,12,1281
R3_sw,13,1787
R3_sw,14,2342
R3_sw,15,2511
R3_sw,16,2327
R3_sw,17,2099
R3_sw,18,1811
R3_sw,19,1573
R3_sw,20,1514
