region,biweek,cases
R0_metro,0,94
R0_metro,1,239
R0_metro,2,419
R0_metro,3,800
R0_metro,4,1369
R0_metro,5,2200
R0_metro,6,3818
R0_metro,7,6652
R0_metro,8,10962
R0_metro,9,16601
R0_metro,10,23357
R0_metro,11,27967
R0_metro,12,29784
R0_metro,13,28777
R0_metro,14,26109
R0_metro,15,22200
R0_metro,16,19285
R0_metro,17,16503
R0_metro,18,14070
R0_metro,19,12386
R0_metro,20,11033
R0_metro,21,9121
R0_metro,22,7765
R0_metro,23,7463
R0_metro,24,7069
R0_metro,25,6991
R0_metro,26,7196
R0_metro,27,7646
R0_metro,28,8512
R0_metro,29,10272
R0_metro,30,12490
R0_metro,31,14164
R0_metro,32,14695
R0_metro,33,14952
R0_metro,34,14605
R0_metro,35,12329
R0_metro,36,10421
R0_metro,37,7661
R0_metro,38,5545
R0_metro,39,4041
R0_metro,40,2865
R0_metro,41,1901
R0_metro,42,1319
R0_metro,43,722
R0_metro,44,324
R0_metro,45,117
R0_metro,46,48
R0_metro,47,33
R0_metro,48,29
R0_metro,49,6
R0_metro,50,0
R0_metro,51,0
R0_metro,52,8
R0_metro,53,12
R0_metro,54,9
R0_metro,55,2
R0_metro,56,0
R0_metro,57,0
R0_metro,58,0
R0_metro,59,0
R0_metro,60,0
R0_metro,61,5
R0_metro,62,4
R0_metro,63,0
R0_metro,64,0
R0_metro,65,0
R0_metro,66,0
R0_metro,67,0
R0_metro,68,0
R0_metro,69,0
R0_metro,70,0
R0_metro,71,0
R0_metro,72,0
R0_metro,73,0
R0_metro,74,0
R0_metro,75,0
R0_metro,76,0
R0_metro,77,0
R0_metro,78,0
R1_nw,0,0
R1_nw,1,0
R1_nw,2,0
R1_nw,3,0
R1_nw,4,0
R1_nw,5,0
R1_nw,6,5
R1_nw,7,86
R1_nw,8,164
R1_nw,9,228
R1_nw,10,389
R1_nw,11,697
R1_nw,12,1152
R1_nw,13,1600
R1_nw,14,2100
R1_nw,15,2322
R1_nw,16,2712
R1_nw,17,2472
R1_nw,18,2309
R1_nw,19,1918
R1_nw,20,1358
R1_nw,21,1060
R1_nw,22,916
R1_nw,23,851
R1_nw,24,869
R1_nw,25,689
R1_nw,26,649
R1_nw,27,812
R1_nw,28,1105
R1_nw,29,1272
R1_nw,30,1650
R1_nw,31,1853
R1_nw,32,2246
R1_nw,33,2413
R1_nw,34,2372
R1_nw,35,2025
R1_nw,36,1566
R1_nw,37,1338
R1_nw,38,959
R1_nw,39,666
R1_nw,40,404
R1_nw,41,188
R1_nw,42,172
R1_nw,43,125
R1_nw,44,49
R1_nw,45,15
R1_nw,46,0
R1_nw,47,0
R1_nw,48,0
R1_nw,49,0
R1_nw,50,0
R1_nw,51,0
R1_nw,52,0
R1_nw,53,0
R1_nw,54,0
R1_nw,55,0
R1_nw,56,0
R1_nw,57,0
R1_nw,58,0
R1_nw,59,0
R1_nw,60,0
R1_nw,61,0
R1_nw,62,0
R1_nw,63,0
R1_nw,64,0
R1_nw,65,0
R1_nw,66,0
R1_nw,67,0
R1_nw,68,0
R1_nw,69,0
R1_nw,70,0
R1_nw,71,0
R1_nw,72,0
R1_nw,73,0
R1_nw,74,0
R1_nw,75,0
R1_nw,76,0
R1_nw,77,0
R1_nw,78,0
R2_ne,0,0
R2_ne,1,6
R2_ne,2,35
R2_ne,3,123
R2_ne,4,227
R2_ne,5,461
R2_ne,6,745
R2_ne,7,1313
R2_ne,8,1891
R2_ne,9,2767
R2_ne,10,3990
R2_ne,11,4600
R2_ne,12,5128
R2_ne,13,4694
R2_ne,14,4012
R2_ne,15,3299
R2_ne,16,2780
R2_ne,17,2294
R2_ne,18,1751
R2_ne,19,1213
R2_ne,20,924
R2_ne,21,738
R2_ne,22,442
R2_ne,23,251
R2_ne,24,169
R2_ne,25,163
R2_ne,26,71
R2_ne,27,111
R2_ne,28,113
R2_ne,29,98
R2_ne,30,70
R2_ne,31,87
R2_ne,32,51
R2_ne,33,76
R2_ne,34,77
R2_ne,35,112
R2_ne,36,89
R2_ne,37,75
R2_ne,38,40
R2_ne,39,41
R2_ne,40,61
R2_ne,41,47
R2_ne,42,25
R2_ne,43,24
R2_ne,44,4
R2_ne,45,0
R2_ne,46,0
R2_ne,47,0
R2_ne,48,0
R2_ne,49,0
R2_ne,50,0
R2_ne,51,0
R2_ne,52,0
R2_ne,53,0
R2_ne,54,0
R2_ne,55,0
R2_ne,56,0
R2_ne,57,0
R2_ne,58,0
